slug,provider,actionButtons,toolType,tag,price,planName,planType,description,starred
4everland-free,!provider:4everland-free,,,,,,,,
4everland-pay-as-you-go,!provider:4everland-pay-as-you-go,,,,,,,,
anyalt,!provider:anyalt,,,,,,,,
bitbond-token-tool-enterprise,!provider:bitbond-token-tool-enterprise,,,,,,,,
bitbond-token-tool-pay-as-you-go,!provider:bitbond-token-tool-pay-as-you-go,,,,,,,,
chain-ide,!provider:chain-ide,,,,,,,,
chainlink-ccip,!provider:chainlink-ccip,,,,,,,,
coinsdo,!provider:coinsdo,,,,,,,,
crossmint-enterprise,!provider:crossmint-enterprise,,,,,,,,
crossmint-free,!provider:crossmint-free,,,,,,,,
datacurve-enterprise,!provider:datacurve-enterprise,,,,,,,,
datacurve-pay-as-you-go,!provider:datacurve-pay-as-you-go,,,,,,,,
failsafe,!provider:failsafe,,,,,,,,
ipfs,!provider:ipfs,,,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,,,
portal-free,!provider:portal-free,,,,,,,,
portal-pay-as-you-go,!provider:portal-pay-as-you-go,,,,,,,,
privy,!provider:privy,,,,,,,,
reclaim-protocol,!provider:reclaim-protocol,,,,,,,,
reown,!provider:reown,,,,,,,,
rubic-sdk,!provider:rubic-sdk,,,,,,,,
soroban-cli,Soroban CLI,"[""[Docs](https://github.com/stellar/stellar-cli)""]",CLI,"[""CLI"",""Soroban""]",$0 ,,Free,"CLI for developing, testing, and deploying Soroban smart contracts",FALSE
stellar-laboratory,Stellar Laboratory,"[""[Docs](https://lab.stellar.org/)""]",Testing Environment,"[""Testing"",""Horizon"",""Soroban""]",$0 ,,Free,"Web tool for testing transactions, accounts, and Soroban contracts",FALSE
stellar-sdk-csharp,Stellar SDK (.NET),"[""[Docs](https://github.com/Beans-BV/dotnet-stellar-sdk)""]",SDK,"[""C#"",""Horizon""]",$0 ,,Free,".NET SDK for interacting with Horizon, community-maintained",FALSE
stellar-sdk-flutter,Stellar SDK (Flutter),"[""[Docs](https://github.com/Soneso/stellar_flutter_sdk)""]",SDK,"[""Flutter"",""Horizon"",""Soroban""]",$0 ,,Free,"Open-source SDK for Flutter, supports Horizon and Soroban, community-maintained",FALSE
stellar-sdk-go,Stellar SDK (Go),"[""[Docs](https://github.com/stellar/go)""]",SDK,"[""Go"",""Horizon"",""Soroban""]",$0 ,,Free,"Go SDK for building transactions, accounts, and Soroban contracts",FALSE
stellar-sdk-ios-mac,Stellar SDK (iOS/macOS),"[""[Docs](https://github.com/Soneso/stellar-ios-mac-sdk)""]",SDK,"[""iOS"",""macOS"",""Horizon"",""Soroban""]",$0 ,,Free,"Open-source SDK for iOS/macOS, supports Horizon and Soroban, community-maintained",FALSE
stellar-sdk-java,Stellar SDK (Java),"[""[Docs](https://github.com/lightsail-network/java-stellar-sdk)""]",SDK,"[""Java"",""Horizon"",""Soroban""]",$0 ,,Free,"Java SDK for building transactions, accounts, and Soroban contracts",FALSE
stellar-sdk-js,Stellar SDK (JavaScript),"[""[Docs](https://github.com/stellar/js-stellar-sdk)""]",SDK,"[""JavaScript"",""Horizon"",""Soroban""]",$0 ,,Free,"JavaScript SDK for building transactions, accounts, and Soroban contracts",FALSE
stellar-sdk-py,Stellar SDK (Python),"[""[Docs](https://github.com/StellarCN/py-stellar-base)""]",SDK,"[""Python"",""Horizon"",""Soroban""]",$0 ,,Free,"Python SDK for building transactions, accounts, and Soroban contracts",FALSE
stellar-sdk-ruby,Stellar SDK (Ruby),"[""[Docs](https://github.com/astroband/ruby-stellar-sdk)""]",SDK,"[""Ruby"",""Horizon""]",$0 ,,Free,"Ruby SDK for building transactions and connecting to Horizon, community-maintained",FALSE
stellar-sdk-rust,Stellar SDK (Rust),"[""[Docs](https://github.com/stellar/rs-soroban-sdk)""]",SDK,"[""Rust"",""Soroban""]",$0 ,,Free,Rust SDK for developing and deploying Soroban smart contracts,FALSE
tatum-sdk-enterprise,!provider:tatum-sdk-enterprise,,,,,,,,
tatum-sdk-free,!provider:tatum-sdk-free,,,,,,,,
tatum-sdk-pay-as-you-go,!provider:tatum-sdk-pay-as-you-go,,,,,,,,
ziion-linux-distro,!provider:ziion-linux-distro,,,,,,,,
