slug,provider,actionButtons,toolType,tag,price,description,starred
aptos-sdk,Aptos,"[""[Docs](https://aptos.dev/build/sdks)""]",SDK,"[""Go"","".NET"",""Python"",""Unity"",""TypeScript"",""C++"",""Rust""]",$0,"Official SDKs like TypeScript, Python, .NET, Rust, Unity, C++ and Go are used for building, testing, and debugging applications on Aptos",FALSE
aptos-cli,Aptos,"[""[Docs](https://aptos.dev/build/cli)""]",CLI,"[""Test"",""Compile"",""Install"",""Setup""]",$0,The Aptos CLI is a tool to compile and test Move contracts. It can also quickly play with Aptos features on-chain,FALSE
aptos-wallet-adapter,Aptos,"[""[Docs](https://aptos.dev/build/sdks/wallet-adapter)""]",Wallet Adapter,"[""AIP-62"",""Modern Wallet Standard""]",$0,The Aptos Wallet Adapter provides a single interface for Aptos dapps and Aptos wallets to communicate with each other,FALSE
reclaim-protocol,!provider:reclaim-protocol,,,,,,
chainlink-ccip,!provider:chainlink-ccip,,,,,,
crossmint-free,!provider:crossmint-free,,,,,,
crossmint-enterprise,!provider:crossmint-enterprise,,,,,,
ipfs,!provider:ipfs,,,,,,
moralis-free,!provider:moralis-free,,,,,,
moralis-pay-as-you-go,!provider:moralis-pay-as-you-go,,,,,,
moralis-enterprise,!provider:moralis-enterprise,,,,,,
portal-free,!provider:portal-free,,,,,,
portal-pay-as-you-go,!provider:portal-pay-as-you-go,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,
turnkey-free,!provider:turnkey-free,,,,,,
turnkey-pay-as-you-go,!provider:turnkey-pay-as-you-go,,,,,,
turnkey-enterprise,!provider:turnkey-enterprise,,,,,,
4everland-free,!provider:4everland-free,,,,,,
4everland-pay-as-you-go,!provider:4everland-pay-as-you-go,,,,,,
